retweet_count,favorite_count,verified,botScore,Number of caps ratio,Number of Exclamations,Fake or Not
23,15,0,0.62,0.2542372881355932,1,0
6,4,0,0.62,0.13274336283185842,0,0
19,7,0,0.62,0.16279069767441862,0,0
49,45,0,0.62,0.11504424778761062,0,0
15,8,0,0.62,0.24528301886792453,0,0
19,12,0,0.62,0.18018018018018017,0,0
30,15,0,0.62,0.25396825396825395,0,0
29,4,0,0.62,0.13392857142857142,0,0
17,3,0,0.62,0.12295081967213115,0,0
54,25,0,0.62,0.2,0,0
1,0,0,0.62,0.04794520547945205,1,0
50,25,0,0.62,0.14444444444444443,0,0
42,11,0,0.62,0.13513513513513514,0,0
18,23,0,0.62,0.13924050632911392,0,0
79,53,0,0.62,0.15942028985507245,0,0
41,25,0,0.62,0.20238095238095238,0,0
26,0,0,0.62,0.13043478260869565,0,0
110,92,0,0.62,0.12903225806451613,0,0
62,23,0,0.62,0.15,0,0
38,7,0,0.62,0.13157894736842105,0,0
31,16,0,0.62,0.19540229885057472,0,0
54,13,0,0.62,0.15555555555555556,0,0
25,12,0,0.62,0.1595744680851064,0,0
20,20,0,0.62,0.14814814814814814,0,0
13,11,0,0.62,0.19318181818181818,0,0
56,17,0,0.62,0.1308411214953271,0,0
34,7,0,0.62,0.1595744680851064,0,0
26,10,0,0.62,0.16161616161616163,0,0
42,17,0,0.62,0.20689655172413793,0,0
53,24,0,0.62,0.1559633027522936,0,0
18,5,0,0.62,0.14545454545454545,0,0
31,9,0,0.62,0.16279069767441862,0,0
274,138,0,0.62,0.22807017543859648,0,0
24,9,0,0.62,0.1724137931034483,0,0
29,6,0,0.62,0.15053763440860216,0,0
54,20,0,0.62,0.13636363636363635,0,0
50,21,0,0.62,0.16071428571428573,0,0
31,14,0,0.62,0.14583333333333334,0,0
22,8,0,0.62,0.16037735849056603,0,0
56,22,0,0.62,0.16379310344827586,0,0
34,11,0,0.62,0.1282051282051282,0,0
46,24,0,0.62,0.16161616161616163,0,0
60,39,0,0.62,0.16161616161616163,0,0
32,14,0,0.62,0.19753086419753085,0,0
23,11,0,0.62,0.2073170731707317,0,0
26,9,0,0.62,0.125,0,0
30,6,0,0.62,0.14423076923076922,0,0
21,15,0,0.62,0.13333333333333333,0,0
31,12,0,0.62,0.1415929203539823,0,0
57,17,0,0.62,0.12903225806451613,0,0
23,19,0,0.62,0.20930232558139536,0,0
46,18,0,0.62,0.15463917525773196,0,0
12,5,0,0.62,0.22580645161290322,1,0
29,8,0,0.62,0.18181818181818182,0,0
16,5,0,0.62,0.1282051282051282,0,0
38,11,0,0.62,0.13829787234042554,0,0
48,12,0,0.62,0.1935483870967742,0,0
66,15,0,0.62,0.14864864864864866,0,0
10,4,0,0.62,0.1282051282051282,0,0
74,20,0,0.62,0.14432989690721648,0,0
101,24,0,0.62,0.15151515151515152,0,0
24,33,0,0.62,0.1,0,0
28,10,0,0.62,0.12,0,0
10,1,0,0.62,0.15053763440860216,0,0
93,31,0,0.62,0.11965811965811966,0,0
67,24,0,0.62,0.14285714285714285,0,0
33,4,0,0.62,0.16091954022988506,0,0
20,6,0,0.62,0.1523809523809524,0,0
35,15,0,0.62,0.11711711711711711,0,0
24,6,0,0.62,0.16822429906542055,0,0
55,25,0,0.62,0.12371134020618557,0,0
43,14,0,0.62,0.18478260869565216,0,0
171,73,0,0.62,0.13513513513513514,0,0
44,19,0,0.62,0.1485148514851485,0,0
80,20,0,0.62,0.1346153846153846,0,0
55,17,0,0.62,0.14414414414414414,0,0
59,12,0,0.62,0.1440677966101695,0,0
45,23,0,0.62,0.1836734693877551,0,0
25,10,0,0.62,0.16494845360824742,0,0
32,17,0,0.62,0.14018691588785046,0,0
18,9,0,0.62,0.2,0,0
36,16,0,0.62,0.15384615384615385,0,0
95,25,0,0.62,0.17346938775510204,0,0
3297,0,0,0.62,0.06428571428571428,1,0
76,31,0,0.62,0.17525773195876287,0,0
22,11,0,0.62,0.1388888888888889,0,0
28,11,0,0.62,0.11607142857142858,0,0
30,10,0,0.62,0.13725490196078433,0,0
27,15,0,0.62,0.15294117647058825,0,0
45,20,0,0.62,0.14583333333333334,0,0
62,16,0,0.62,0.14035087719298245,0,0
94,28,0,0.62,0.13274336283185842,0,0
69,17,0,0.62,0.15053763440860216,0,0
70,23,0,0.62,0.1388888888888889,0,0
19,13,0,0.62,0.16049382716049382,0,0
47,9,0,0.62,0.17117117117117117,0,0
8,5,0,0.62,0.13402061855670103,0,0
45,17,0,0.62,0.14893617021276595,0,0
14,10,0,0.62,0.14782608695652175,0,0
82,23,0,0.62,0.1368421052631579,0,0
18,6,0,0.62,0.12371134020618557,0,0
164,29,0,0.62,0.21348314606741572,0,0
32,12,0,0.62,0.15,0,0
23,15,0,0.62,0.12871287128712872,0,0
16,5,0,0.62,0.13,0,0
46,5,0,0.62,0.12149532710280374,0,0
62,12,0,0.62,0.15492957746478872,0,0
16,7,0,0.62,0.2,0,0
15,3,0,0.62,0.17,0,0
40,7,0,0.62,0.12048192771084337,0,0
75,24,0,0.62,0.12903225806451613,0,0
18,9,0,0.62,0.1797752808988764,0,0
26,9,0,0.62,0.17777777777777778,0,0
26,8,0,0.62,0.14893617021276595,0,0
20,14,0,0.62,0.05,0,0
94,14,0,0.62,0.15384615384615385,0,0
45,3,0,0.62,0.16161616161616163,0,0
39,14,0,0.62,0.14,0,0
50,20,0,0.62,0.1724137931034483,0,0
43,9,0,0.62,0.10714285714285714,0,0
27,11,0,0.62,0.1523809523809524,0,0
72,23,0,0.62,0.14018691588785046,0,0
37,6,0,0.62,0.1625,0,0
51,13,0,0.62,0.11504424778761062,0,0
47,6,0,0.62,0.12389380530973451,0,0
22,9,0,0.62,0.13333333333333333,0,0
50,11,0,0.62,0.1532258064516129,0,0
52,33,0,0.62,0.24074074074074073,0,0
49,8,0,0.62,0.1276595744680851,0,0
13,11,0,0.62,0.14705882352941177,0,0
94,26,0,0.62,0.13186813186813187,0,0
1,0,0,0.62,0.1694915254237288,0,0
30,4,0,0.62,0.12037037037037036,0,0
36,4,0,0.62,0.12,0,0
40,17,0,0.62,0.1523809523809524,0,0
43,8,0,0.62,0.14285714285714285,0,0
29,10,0,0.62,0.2153846153846154,0,0
188,36,0,0.62,0.16666666666666666,0,0
39,10,0,0.62,0.15217391304347827,0,0
38,7,0,0.62,0.13333333333333333,0,0
32,4,0,0.62,0.18518518518518517,0,0
61,13,0,0.62,0.10714285714285714,0,0
47,18,0,0.62,0.1111111111111111,0,0
5,2,0,0.62,0.06349206349206349,0,0
61,9,0,0.62,0.15053763440860216,0,0
136,19,0,0.62,0.11965811965811966,0,0
2,3,0,0.62,0.18181818181818182,0,0
330,89,0,0.62,0.20588235294117646,0,0
78,10,0,0.62,0.15217391304347827,0,0
33,14,0,0.62,0.1744186046511628,0,0
134,0,0,0.62,0.12142857142857143,0,0
4,0,0,0.62,0.1262135922330097,0,0
139,20,0,0.62,0.1623931623931624,0,0
27,9,0,0.62,0.14893617021276595,0,0
31,11,0,0.62,0.1724137931034483,0,0
44,8,0,0.62,0.13829787234042554,0,0
93,39,0,0.62,0.1414141414141414,0,0
37,10,0,0.62,0.18518518518518517,0,0
24,7,0,0.62,0.11650485436893204,0,0
43,16,0,0.62,0.09649122807017543,0,0
34,6,0,0.62,0.16483516483516483,0,0
8,1,0,0.62,0.17857142857142858,0,0
38,8,0,0.62,0.15853658536585366,0,0
49,13,0,0.62,0.1717171717171717,0,0
19,9,0,0.62,0.03597122302158273,0,0
126,28,0,0.62,0.14432989690721648,0,0
318,0,0,0.62,0.1411764705882353,0,0
33,11,0,0.62,0.2222222222222222,0,0
70,21,0,0.62,0.11666666666666667,0,0
28,5,0,0.62,0.15384615384615385,0,0
24,6,0,0.62,0.14414414414414414,0,0
64,7,0,0.62,0.10256410256410256,0,0
44,13,0,0.62,0.16,0,0
87,12,0,0.62,0.13978494623655913,0,0
9,5,0,0.62,0.15463917525773196,0,0
31,3,0,0.62,0.1728395061728395,0,0
80,19,0,0.62,0.15384615384615385,0,0
27,5,0,0.62,0.1276595744680851,0,0
48,13,0,0.62,0.136,0,0
38,11,0,0.62,0.13333333333333333,0,0
8,0,0,0.62,0.20930232558139536,0,0
16,5,0,0.62,0.15454545454545454,0,0
27,8,0,0.62,0.17857142857142858,0,0
36,7,0,0.62,0.18823529411764706,0,0
64,15,0,0.62,0.1568627450980392,0,0
21,5,0,0.62,0.13274336283185842,0,0
15,6,0,0.62,0.125,0,0
10,0,0,0.62,0.12,0,0
16,4,0,0.62,0.15476190476190477,0,0
32,12,0,0.62,0.13076923076923078,0,0
22,6,0,0.62,0.1411764705882353,0,0
19,5,0,0.62,0.168,0,0
24,9,0,0.62,0.14,0,0
10,4,0,0.62,0.18888888888888888,0,0
28,8,0,0.62,0.15463917525773196,1,0
32,10,0,0.62,0.14423076923076922,0,0
61,15,0,0.62,0.1326530612244898,0,0
72,22,0,0.62,0.19753086419753085,0,0
12,4,0,0.62,0.15463917525773196,0,0
29,6,0,0.62,0.13402061855670103,0,0
49,6,0,0.62,0.19696969696969696,0,0
23,1,0,0.62,0.15178571428571427,0,0
42,12,0,0.62,0.13445378151260504,0,0
20,5,0,0.62,0.14414414414414414,0,0
17,0,0,0.62,0.14606741573033707,0,0
28,9,0,0.62,0.22857142857142856,0,0
25,5,0,0.62,0.104,0,0
20,6,0,0.62,0.17142857142857143,0,0
20,3,0,0.62,0.12605042016806722,0,0
21,13,0,0.62,0.11016949152542373,0,0
47,13,0,0.62,0.19811320754716982,0,0
30,1,0,0.62,0.21428571428571427,0,0
83,27,0,0.62,0.16666666666666666,0,0
20,4,0,0.62,0.14414414414414414,0,0
21,5,0,0.62,0.12844036697247707,0,0
24,6,0,0.62,0.12264150943396226,0,0
13,3,0,0.62,0.18840579710144928,0,0
24,0,0,0.62,0.13138686131386862,0,0
19,3,0,0.62,0.10317460317460317,0,0
